,id,uid,sci_name,kingdom
531,1117,373122,Arnebia euchroma,33090
532,1118,63360,Liquidambar orientalis,33090
533,1119,857492,Desmodium gyrans,33090
534,1120,183266,Hibiscus surattensis,33090
535,1121,126910,Withania somnifera,33090
536,1122,13329,Achillea millefolium,33090
537,1123,1501483,Monochasma savatieri,33090
538,1131,1117157,Teucrium polium,33090
539,1132,83951,Oroxylum indicum,33090
540,1134,167911,Ajuga decumbens,33090
541,1136,69404,Atractylodes chinensis,33090
542,1137,271884,Antirhea borbonica,33090
543,1138,4072,Capsicum annuum,33090
544,1140,228533,Phanera scandens,33090
545,1143,379279,Prunus africana,33090
546,1144,41228,Plectranthus barbatus,33090
547,1146,118778,Tussilago farfara,33090
548,1147,480421,Pueraria candollei,33090
549,1149,1073321,Saraca asoca,33090
550,1150,1417791,Pelargonium sidoides,33090
551,1151,28513,Salvia divinorum,33090
552,1152,396313,Rhazya stricta,33090
553,1153,234379,Begonia homonyma,33090
554,1154,99300,Rehmannia glutinosa,33090
555,1155,3311,Ginkgo biloba,33090
556,1156,178647,Arracacia tolucensis,33090
557,1160,38868,Salvia officinalis,33090
558,1161,485705,Chlorophytum arundinaceum,33090
559,1162,43071,Eryngium planum,33090
560,1164,65409,Scutellaria baicalensis,33090
561,1165,3501,Urtica dioica,33090
562,1166,443222,Toona sinensis,33090
563,1168,83951,Oroxylum indicum,33090
564,1169,764185,Paramollugo nudicaulis,33090
565,1171,300990,Bridelia tomentosa,33090
566,1174,38868,Salvia officinalis,33090
567,1175,262757,Morella rubra,33090
568,1176,33125,Lepidium sativum,33090
569,1177,385002,Morella esculenta,33090
570,1180,482968,Mirabilis himalaica,33090
571,1182,386280,Changium smyrnioides,33090
572,1183,65561,Hypericum perforatum,33090
573,1184,176258,Rhododendron arboreum,33090
574,1186,537489,Rhinacanthus nasutus,33090
575,1187,86864,Codonopsis pilosula,33090
576,1188,48106,Centella asiatica,33090
577,1189,4058,Catharanthus roseus,33090
578,1190,701470,Echium amoenum,33090
579,1192,99506,Heracleum candicans,33090
580,1194,126910,Withania somnifera,33090
581,1196,92921,Silybum marianum,33090
582,1198,3662,Cucurbita moschata,33090
583,1199,2783874,Daphne mucronata,33090
584,1201,113208,Physalis angulata,33090
585,1203,54860,Narcissus tazetta,33090
586,1206,148671,Anadenanthera colubrina,33090
587,1209,119260,Cinnamomum aromaticum,33090
588,1210,182111,Ficus deltoidea,33090
589,1211,4164,Digitalis purpurea,33090
590,1214,1472148,Pouteria ramiflora,33090
591,1217,68875,Torenia fournieri,33090
592,1217,35608,Artemisia annua,33090
593,1219,49577,Hellenia speciosa,33090
594,1221,344358,Azorella compacta,33090
595,1227,2839963,Zanthoxylum asiaticum,33090
596,1228,35608,Artemisia annua,33090
597,1229,36777,Elaeagnus angustifolia,33090
598,1230,13217,Piper betle,33090
599,1230,184783,Areca catechu,33090
600,1231,124943,Azadirachta indica,33090
601,1232,389181,Jasminum grandiflorum,33090
602,1233,2830726,Maerua oblongifolia,33090
603,1234,97028,Trifolium medium,33090
604,1235,159030,Murraya koenigii,33090
605,1236,714457,Clinacanthus nutans,33090
606,1237,4058,Catharanthus roseus,33090
607,1238,649199,Astragalus membranaceus,33090
608,1239,215581,Solanum viarum,33090
609,1240,47037,Alhagi maurorum,33090
610,1242,52862,Thevetia peruviana,33090
611,1244,128608,Cinnamomum verum,33090
612,1244,119260,Cinnamomum aromaticum,33090
613,1245,105884,Lonicera japonica,33090
614,1246,2843217,Rhaphiolepis bibas,33090
615,1248,1340885,Symplocos racemosa,33090
616,1249,144168,Astragalus verus,33090
617,1251,193516,Hippophae rhamnoides,33090
618,1253,39350,Ocimum basilicum,33090
619,1255,126910,Withania somnifera,33090
620,1256,54803,Piper kadsura,33090
621,1257,1073848,Mikania glomerata,33090
622,1258,142860,Euphorbia tirucalli,33090
623,1259,48386,Perilla frutescens,33090
624,1261,539895,Potentilla lineata,33090
625,1262,35608,Artemisia annua,33090
626,1263,343886,Lycium intricatum,33090
627,1264,29808,Taxus chinensis,33090
628,1266,292393,Gentiana scabra,33090
629,1268,178107,Qualea grandiflora,33090
630,1269,157652,Mucuna pruriens,33090
631,1272,65561,Hypericum perforatum,33090
632,1273,4679,Allium cepa,33090
633,1274,172074,Schenkia spicata,33090
634,1275,74613,Glycyrrhiza uralensis,33090
635,1277,142615,Dendrobium officinale,33090
636,1278,222567,Strobilanthes cusia,33090
637,1279,161269,Stauntonia chinensis,33090
638,1280,647291,Ulmus wallichiana,33090
639,1281,1628388,Tephrosia bracteolata,33090
640,1282,179994,Entandrophragma cylindricum,33090
641,1283,71251,Chelidonium majus,33090
642,1284,325741,Ferulago angulata,33090
643,1285,454511,Haloxylon salicornicum,33090
644,1286,175694,Andrographis paniculata,33090
645,1287,92921,Silybum marianum,33090
646,1288,63812,Peumus boldus,33090
647,1289,35608,Artemisia annua,33090
648,1291,261998,Astronium urundeuva,33090
649,1292,4013,Toxicodendron vernicifluum,33090
650,1293,45208,Aralia racemosa,33090
651,1294,126910,Withania somnifera,33090
652,1296,112883,Lycium chinense,33090
653,1297,76025,Fallopia multiflora,33090
