"","id","uid","sci_name"
"407",843,"5599","Alternaria alternata"
"408",843,"355589","Huperzia serrata"
"409",844,"190534","Vaccinium arctostaphylos"
"410",846,"483812","Leucas biflora"
"411",847,"41228","Plectranthus barbatus"
"412",848,"3845","Erythrina variegata"
"413",849,"185080","Cynanchum thesioides"
"414",852,"5599","Alternaria alternata"
"415",852,"82070","Squilla maritima"
"416",854,"53719","Eclipta prostrata"
"417",855,"1073321","Saraca asoca"
"418",856,"43366","Clitoria ternatea"
"419",858,"1417791","Pelargonium sidoides"
"420",858,"141317","Justicia adhatoda"
"421",860,"99507","Heracleum moellendorffii"
"422",862,"136215","Curcuma flaviflora"
"423",863,"48101","Angelica dahurica"
"424",864,"183944","Patrinia villosa"
"425",865,"65561","Hypericum perforatum"
"426",867,"1387576","Caesalpinia bahamensis"
"427",868,"326663","Hypoxylon investiens"
"428",869,"1405045","Lepechinia salviae"
"429",870,"54477","Vitex agnus-castus"
"430",872,"396476","Mallotus barbatus"
"431",873,"240019","Agriophyllum squarrosum"
"432",874,"396369","Elephantopus scaber"
"433",875,"72402","Senna alexandrina"
"434",876,"1073321","Saraca asoca"
"435",876,"235806","Monoon longifolium"
"436",877,"5821","Plasmodium berghei"
"437",878,"357970","Angelica biserrata"
"438",880,"54724","Hansenia weberbaueriana"
"439",884,"2743281","Pilocarpus microphyllus"
"440",885,"69391","Wrightia arborea"
"441",886,"226208","Salvia miltiorrhiza"
"442",889,"260142","Syzygium cumini"
"443",890,"3483","Cannabis sativa"
"444",892,"78534","Trigonella foenum-graecum"
"445",892,"390705","Securigera securidaca"
"446",894,"98504","Matricaria chamomilla"
"447",895,"40559","Botrytis cinerea"
"448",896,"92921","Silybum marianum"
"449",897,"216016","Mesembryanthemum tortuosum"
"450",898,"59627","Myrmecodia tuberosa"
"451",900,"161756","Isatis tinctoria"
"452",902,"1217422","Vachellia leucophloea"
"453",903,"52570","Trachyspermum ammi"
"454",904,"715697","Galium mexicanum"
"455",905,"41230","Marrubium vulgare"
"456",906,"289753","Rhus chinensis"
"457",907,"199225","Pinellia ternata"
"458",908,"35608","Artemisia annua"
"459",910,"74613","Glycyrrhiza uralensis"
"460",915,"137887","Swertia chirayita"
"461",916,"228709","Cynanchum wilfordii"
"462",916,"157409","Cynanchum auriculatum"
"463",916,"76025","Fallopia multiflora"
"464",917,"74613","Glycyrrhiza uralensis"
"465",919,"324593","Saussurea costus"
"466",922,"710102","Calligonum polygonoides"
"467",923,"1443264","Satureja sahendica"
"468",924,"662904","Isodon amethystoides"
"469",927,"34254","Lithospermum erythrorhizon"
"470",928,"103999","Codonopsis lanceolata"
"471",934,"37334","Citrus maxima"
"472",935,"200492","Sophora alopecuroides"
"473",938,"49666","Paris polyphylla"
"474",940,"332442","Clinopodium nubigenum"
"475",940,"39329","Lavandula angustifolia"
"476",940,"13632","Lucilia sericata"
"477",942,"292717","Daldinia eschscholtzii"
"478",942,"28511","Pogostemon cablin"
"479",943,"75067","Rubus crataegifolius"
"480",944,"94219","Dendrobium nobile"
"481",945,"362630","Leuzea carthamoides"
"482",949,"33118","Nicandra physalodes"
"483",951,"1225088","Salacia oblonga"
"484",952,"226101","Aconitum vilmorinianum"
"485",956,"3483","Cannabis sativa"
"486",957,"326831","Pedicularis longiflora"
"487",958,"283121","Flueggea virosa"
"488",962,"489418","Zosima absinthifolia"
"489",963,"198880","Indigofera heterantha"
"490",964,"126913","Suaeda maritima"
"491",968,"82528","Crocus sativus"
"492",969,"261786","Helichrysum italicum"
"493",971,"459758","Cosmos sulphureus"
"494",972,"82755","Gymnanthemum amygdalinum"
"495",973,"326620","Annulohypoxylon ilanense"
"496",975,"203100","Veratrum nigrum"
"497",976,"482968","Mirabilis himalaica"
"498",977,"210357","Hovenia acerba"
"499",978,"253618","Epimedium brevicornu"
"500",979,"1408201","Eschenbachia blinii"
"501",980,"55670","Stevia rebaudiana"
"502",981,"52477","Peucedanum ostruthium"
"503",982,"59502","Rubus sachalinensis"
"504",983,"57928","Sibbaldianthe bifurca"
"505",984,"526193","Euphorbia ebracteolata"
"506",985,"463880","Ficus tikoua"
"507",986,"13708","Tagetes erecta"
"508",987,"2528947","Eremophila longifolia"
"509",988,"124778","Illicium verum"
"510",991,"120153","Mitracarpus villosus"
"511",992,"210348","Brucea javanica"
"512",993,"49577","Hellenia speciosa"
"513",994,"280248","Diaporthe phyllanthicola"
"514",995,"65672","Serendipita indica"
"515",995,"48106","Centella asiatica"
"516",996,"1931","Streptomyces sp."
"517",996,"714493","Pulsatilla chinensis"
"518",997,"92927","Sarcandra glabra"
"519",999,"53879","Euchresta horsfieldii"
"520",1000,"106664","Colubrina asiatica"
"521",1001,"126910","Withania somnifera"
"522",1004,"46147","Portulaca oleracea"
"523",1007,"122943","Eremurus spectabilis"
"524",1008,"74656","Agrimonia pilosa"
"525",1009,"126910","Withania somnifera"
"526",1010,"82047","Albuca bracteata"
"527",1010,"205705","Albuca setosa"
